"","dac3","dac3.Name"
"1",110,"Education"
"2",111,"Education, Level Unspecified"
"7",112,"Basic Education"
"13",113,"Secondary Education"
"18",114,"Post-Secondary Education"
"21",120,"Health"
"22",121,"Health, General"
"27",122,"Basic Health"
"36",130,"Population Policies/ Programmes And Reproductive Health"
"42",140,"Water And Sanitation"
"54",150,"Government And Civil Society"
"55",151,"Government And Civil Society, General"
"96",152,"Conflict Prevention And Resolution, Peace And Security"
"103",160,"Other Social Infrastructure And Services"
"120",210,"Transport And Storage"
"135",220,"Communications"
"143",230,"Energy Generation, Distribution And Efficiency"
"144",231,"Energy Generation, Distribution And Efficiency – General"
"151",232,"Energy Generation, Renewable Sources"
"159",233,"Energy Generation, Non-Renewable Sources"
"166",234,"Hybrid Energy Electric Power Plants"
"168",235,"Nuclear Energy Electric Power Plants"
"170",236,"Heating, Cooling And Energy Distribution"
"175",240,"Banking And Financial Services"
"181",250,"Business And Other Services"
"184",311,"Agriculture"
"203",312,"Forestry"
"210",313,"Fishing"
"216",321,"Industry"
"234",322,"Mineral Resources And Mining"
"245",323,"Construction"
"247",331,"Trade Policy And Regulations And Trade- Related Adjustment"
"254",332,"Tourism"
"256",410,"General Environmental Protection"
"264",430,"Other Multisector"
"275",510,"General Budget Support"
"277",520,"Developmental Food Aid/Food Security Assistance"
"279",530,"Other Commodity Assistance"
"282",600,"Debt Relief"
"290",720,"Emergency Response"
"294",730,"Reconstruction Relief And Rehabilitation"
"296",740,"Disaster Prevention And Preparedness"
"298",910,"Administrative Costs Of Donors"
"300",930,"Refugees In Donor Countries"
"302",998,"Unallocated/  Unspecified"
